Key\en-US\it-IT\th-TH
ALARM000\000 EMERGENCY NOT OK\000 EMERGENZA NON OK DA REL? DI SICUREZZA\
ALARM001\001 EMERGENCY XXX BUTTON PRESSED (HMI-107SB20)\001 EMERGENZA XXX PREMUTA (HMI-SB20)\
ALARM002\002 EMERGENCY XXX BUTTON PRESSED (MOBILE JOG-SB21) PRESSED\002 EMERGENZA XXX PREMUTA (XXX-SB21)\
ALARM003\003 EMERGENCY XXX BUTTON PRESSED (LINK BELT 15-127SB26)\003 EMERGENZA XXX PREMUTA (XXX-SB22)\
ALARM004\004 EMERGENCY XXX BUTTON PRESSED (METALDETECTOR BELT-127SB27)\4\
ALARM005\005:\5\
ALARM006\006:\6\
ALARM007\007:\7\
ALARM008\008:\8\
ALARM009\009:\9\
ALARM010\010:\10\
ALARM011\011:\11\
ALARM012\012:\12\
ALARM013\013:\13\
ALARM014\014:\14\
ALARM015\015:\15\
ALARM016\016:\16\
ALARM017\017:\17\
ALARM018\018:\18\
ALARM019\019:\19\
ALARM020\020:\20\
ALARM021\021:\21\
ALARM022\022:\22\
ALARM023\023:\23\
ALARM024\024:\24\
ALARM025\025:\25\
ALARM026\026:\26\
ALARM027\027:\27\
ALARM028\028:\28\
ALARM029\029:\29\
ALARM030\030:\30\
ALARM031\031:\31\
ALARM032\032 WRAPPER GUARDS NOT OK\032 PROTEZIONI NON OK \
ALARM033\033 GUARD XXX OPEN (JAWS-107SQ500)\033 PROTEZIONE nn APERTA (GANASCE-SQ500)\
ALARM034\034 GUARD XXX OPEN (REEL HOLDER-SQ501)\034 PROTEZIONE nn APERTA (PORTABOBINE-SQ501)\
ALARM035\035 GUARD XXX OPEN (JAWS-108SQ502)\035 PROTEZIONE nn APERTA (GANASCE-SQ502)\
ALARM036\036 GUARD XXX OPEN (JAWS-SQ503)\036 PROTEZIONE nn APERTA (GANASCE-SQ503)\
ALARM037\037 GUARD XXX OPEN (BACK-108SQ504)\037 PROTEZIONE nn APERTA (RETRO-SQ504)\
ALARM038\038 GUARD XXX OPEN (BACK-108SQ505)\038 PROTEZIONE nn APERTA (RETRO-SQ505)\
ALARM039\039 GUARD XXX OPEN (JAWS-SQ506)\039 PROTEZIONE nn APERTA (USCITA-SQ506)\
ALARM040\040 FILM LEFT REEL SPLICING ROLLER GUARD (SQ507)\40\
ALARM041\041 GUARD XXX OPEN (EXIT BELT-109SQ509)\41\
ALARM042\042:\42\
ALARM043\043:\43\
ALARM044\044 GUARD XXX OPEN (CHAIN-SQ510)\044 PROTEZIONE nn APERTA (CATENA-SQ510)\
ALARM045\045 GUARD XXX OPEN (PRESSURE LIMIT BELT-SQ511)\045 PROTEZIONE nn APERTA (CATENA-SQ511)\
ALARM046\046 GUARD XXX OPEN (PRESSURE LIMIT BELT-SQ512)\48\
ALARM047\047 GUARD XXX OPEN (PRESSURE LIMIT BELT-SQ513)\47\
ALARM048\048 GUARD XXX OPEN (PRESSURE LIMIT BELT-SQ514)\48\
ALARM049\049 GUARD XXX OPEN (PRESSURE LIMIT BELT-SQ515)\49\
ALARM050\050 GUARD XXX OPEN (PRESSURE LIMIT BELT-SQ516)\50\
ALARM051\051 GUARD XXX OPEN (PRESSURE LIMIT BELT-SQ517)\51\
ALARM052\052 GUARD XXX OPEN (LINK BELT 22-SQ540)\52\
ALARM053\053 GUARD XXX OPEN (LINK BELT 22-SQ541)\53\
ALARM054\054 GUARD XXX OPEN (LINK BELT 22-SQ542)\54\
ALARM055\055 GUARD XXX OPEN (LINK BELT 22-SQ543)\55\
ALARM056\056 GUARD XXX OPEN (LINK BELT 22-SQ544)\56\
ALARM057\057 GUARD XXX OPEN (LINK BELT 22-SQ545)\57\
ALARM058\058 GUARD XXX OPEN (LINK BELT 22-SQ546)\58\
ALARM059\059 GUARD XXX OPEN (LINK BELT 22-SQ547)\59\
ALARM060\060 GUARD XXX OPEN (TURNING BELT-SQ530)\60\
ALARM061\061 GUARD XXX OPEN (VERTICAL TURNING BELT-SQ531)\61\
ALARM062\062 GUARD XXX OPEN (TURNING BELT-SQ532)\62\
ALARM063\063 GUARD XXX OPEN (METALDETECTOR BELT-SQ533)\63\
