Key\en-US\it-IT\th-TH
GLOBAL_PAR000\MACHINE: Start audible warning time [sec]\CONFEZIONATRICE: Durata segnale acustico all'avvio [sec]\
GLOBAL_PAR001\SEALING WHEELS: Delay to open [sec]\ROTANTI: Ritardo apertura [sec]\
GLOBAL_PAR002\FILM: Forming box standby vacuum level [%]\FILM: Livello pompa di aspirazione in standby [%]\
GLOBAL_PAR003\.\.\
GLOBAL_PAR004\.\.\
GLOBAL_PAR005\.\.\
GLOBAL_PAR006\DOWNSTREAM READY OVERRIDE: Duration [min]\BYPASS READY DA VALLE: Durata [min]\
GLOBAL_PAR007\.\.\
GLOBAL_PAR008\.\.\
GLOBAL_PAR009\.\.\
GLOBAL_PAR010\.\.\
GLOBAL_PAR011\.\.\
GLOBAL_PAR012\.\.\
GLOBAL_PAR013\.\.\
GLOBAL_PAR014\.\.\
GLOBAL_PAR015\.\.\
GLOBAL_PAR016\.\.\
GLOBAL_PAR017\.\.\
GLOBAL_PAR018\.\.\
GLOBAL_PAR019\.\.\
GLOBAL_PAR020\.\.\
GLOBAL_PAR021\.\.\
GLOBAL_PAR022\.\.\
GLOBAL_PAR023\.\.\
GLOBAL_PAR024\.\.\
GLOBAL_PAR025\.\.\
GLOBAL_PAR026\.\.\
GLOBAL_PAR027\.\.\
GLOBAL_PAR028\.\.\
GLOBAL_PAR029\.\.\
GLOBAL_PAR030\.\.\
GLOBAL_PAR031\.\.\
GLOBAL_PAR032\.\.\
GLOBAL_PAR033\.\.\
GLOBAL_PAR034\.\.\
GLOBAL_PAR035\.\.\
GLOBAL_PAR036\.\.\
GLOBAL_PAR037\.\.\
GLOBAL_PAR038\.\.\
GLOBAL_PAR039\.\.\
GLOBAL_PAR040\.\.\
GLOBAL_PAR041\.\.\
GLOBAL_PAR042\.\.\
GLOBAL_PAR043\.\.\
GLOBAL_PAR044\.\.\
GLOBAL_PAR045\.\.\
GLOBAL_PAR046\.\.\
GLOBAL_PAR047\.\.\
GLOBAL_PAR048\.\.\
GLOBAL_PAR049\.\.\
GLOBAL_PAR050\.\.\
GLOBAL_PAR051\.\.\
GLOBAL_PAR052\.\.\
GLOBAL_PAR053\.\.\
GLOBAL_PAR054\.\.\
GLOBAL_PAR055\.\.\
GLOBAL_PAR056\.\.\
GLOBAL_PAR057\.\.\
GLOBAL_PAR058\.\.\
GLOBAL_PAR059\.\.\
GLOBAL_PAR060\.\.\
GLOBAL_PAR061\.\.\
GLOBAL_PAR062\.\.\
GLOBAL_PAR063\.\.\
